NAME	SCORE

Armin	7
Arminhammer	6
Hingle McCringleberry	8
Mahini	2
Arminito	5
Nimra	2
Neeki	3
Patrick	2
Smitty Werbenjagermanjensen	3
Nobody	4
Mom	2
Dad	3
Blah	3
Pac-Man	3
Armout	1
WOOOOOOOOO	4
Brazoentro	3
Legin	7
ArminMahini	10
Seyed	5
Bizmo	2
Arturo	3
Nick	2
The	4
NickIsAwesome	3
wmui	3
kev	5
wm	1
fds	1
yolo	10
dfg	6
wwww	3
21213131	7
se	7
tester	1
yeaboiii	15
0	1
e	5
why	2
yay	3
dying	1
tester	15
wohoo	1
highscore?	20
whais	3
keviyolo	1
yay	0
wut	1
wut	0
WOOHOOOO	1
whoohoo	1
play2	2
jk	1
.-.	5
